Name,Price,SellDate,Date,Condition,Mileage,Origin,Body Type,Engine Type,Color,Color inside,Seats,Doors,City
Xe Lexus LX 570 2019 - 6 Ty 960 Trieu,6 Ty 960 Trieu,4/11/2024,2019,Xe da dung,"48,000 Km",Nhap khau,SUV,Xang 5.7 L,Den,Nau,7 cho,5 cua,Ha Noi
Xe Mercedes Benz E class E200 Sport 2019 - 1 Ty 289 Trieu,1 Ty 289 Trieu,4/11/2024,2019,Xe da dung,"69,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Do,Den,5 cho,4 cua,Ha Noi
Xe Mercedes Benz Maybach S450 4Matic 2018 - 3 Ty 690 Trieu,3 Ty 690 Trieu,4/11/2024,2018,Xe da dung,"40,000 Km",Nhap khau,Sedan,Xang 3.0 L,Den,Kem,5 cho,4 cua,Ha Noi
Xe Mercedes Benz E class E250 2017 - 1 Ty 59 Trieu,1 Ty 59 Trieu,4/11/2024,2017,Xe da dung,"69,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz S class S450 Luxury 2021 - 3 Ty 999 Trieu,3 Ty 999 Trieu,4/11/2024,2021,Xe da dung,"35,000 Km",Nhap khau,Sedan,Xang 3.0 L,Den,Den,5 cho,4 cua,Ha Noi
Xe Mercedes Benz GLC 300 4Matic 2017 - 1 Ty 68 Trieu,1 Ty 68 Trieu,4/11/2024,2017,Xe da dung,"93,000 Km",Lap rap trong nuoc,SUV,Xang 2.0 L,Trang,Den,5 cho,5 cua,Ha Noi
Xe Mercedes Benz Maybach S450 4Matic 2019 - 4 Ty 299 Trieu,4 Ty 299 Trieu,4/11/2024,2019,Xe da dung,"63,000 Km",Nhap khau,Sedan,Xang 3.0 L,Trang,Nau,5 cho,4 cua,Ha Noi
Xe Porsche Panamera 4 Executive 2020 - 5 Ty 450 Trieu,5 Ty 450 Trieu,4/11/2024,2020,Xe da dung,"35,000 Km",Nhap khau,Sedan,Xang 3.0 L,Trang,Kem,4 cho,4 cua,Ha Noi
Xe Mercedes Benz E class E200 Exclusive 2020 - 1 Ty 399 Trieu,1 Ty 399 Trieu,4/11/2024,2020,Xe da dung,"69,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz GLE Class GLE 43 AMG 4Matic Coupe 2016 - 1 Ty 850 Trieu,1 Ty 850 Trieu,4/11/2024,2016,Xe da dung,"105,000 Km",Nhap khau,Coupe,Xang 3.0 L,Do,Kem,5 cho,4 cua,Ha Noi
Xe Porsche Panamera 4 Executive 2020 - 5 Ty 450 Trieu,5 Ty 450 Trieu,4/11/2024,2020,Xe da dung,"35,000 Km",Nhap khau,Sedan,Xang 3.0 L,Trang,Kem,4 cho,4 cua,Ha Noi
Xe Mercedes Benz E class E200 Exclusive 2020 - 1 Ty 399 Trieu,1 Ty 399 Trieu,4/11/2024,2020,Xe da dung,"69,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz GLE Class GLE 43 AMG 4Matic Coupe 2016 - 1 Ty 850 Trieu,1 Ty 850 Trieu,4/11/2024,2016,Xe da dung,"105,000 Km",Nhap khau,Coupe,Xang 3.0 L,Do,Kem,5 cho,4 cua,Ha Noi
Xe Mercedes Benz E class E250 2016 - 939 Trieu,939 Trieu,4/11/2024,2016,Xe da dung,"79,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Do,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz Maybach S450 4Matic 2019 - 4 Ty 299 Trieu,4 Ty 299 Trieu,4/11/2024,2019,Xe da dung,"48,000 Km",Nhap khau,Sedan,Xang 3.0 L,Nau,Kem,5 cho,4 cua,Ha Noi
Xe Kia Seltos Premium 1.4 AT 2020 - 580 Trieu,580 Trieu,4/11/2024,2020,Xe da dung,"42,000 Km",Lap rap trong nuoc,Crossover,Xang 1.4 L,Cam,Kem,5 cho,5 cua,Ha Noi
Xe Kia Carnival Luxury 2.2D 2022 - 1 Ty 100 Trieu,1 Ty 100 Trieu,4/11/2024,2022,Xe da dung,"29,000 Km",Lap rap trong nuoc,Van/Minivan,Dau 2.2 L,Den,Kem,8 cho,5 cua,Ha Noi
Xe LandRover Range Rover Autobiography LWB Black Edition 2015 - 3 Ty 990 Trieu,3 Ty 990 Trieu,4/11/2024,2015,Xe da dung,"80,000 Km",Nhap khau,SUV,Xang 5.0 L,Xam,Den,4 cho,5 cua,Ha Noi
Xe Nissan Sunny XT Premium 2019 - 315 Trieu,315 Trieu,4/11/2024,2019,Xe da dung,"80,963 Km",Lap rap trong nuoc,Sedan,Xang 1.5 L,Den,Kem,5 cho,4 cua,Ha Noi
Xe Mercedes Benz G class G63 AMG 2021 - 9 Ty 699 Trieu,9 Ty 699 Trieu,4/11/2024,2021,Xe da dung,"10,000 Km",Nhap khau,SUV,Xang 4.0 L,Den,Vang,5 cho,5 cua,Ha Noi
Xe Mercedes Benz E class E300 AMG 2019 - 1 Ty 539 Trieu,1 Ty 539 Trieu,4/11/2024,2019,Xe da dung,"60,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Den,5 cho,4 cua,Ha Noi
Xe Mercedes Benz S class S450L Luxury 2020 - 2 Ty 899 Trieu,2 Ty 899 Trieu,4/11/2024,2020,Xe da dung,"33,000 Km",Lap rap trong nuoc,Sedan,Xang 3.0 L,Trang,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz GLE Class GLE 43 AMG 4Matic Coupe 2016 - 1 Ty 845 Trieu,1 Ty 845 Trieu,4/11/2024,2016,Xe da dung,"100,000 Km",Nhap khau,Coupe,Xang 3.0 L,Do,Kem,5 cho,4 cua,Ha Noi
Xe LandRover Range Rover Autobiography LWB Black Edition 2015 - 3 Ty 990 Trieu,3 Ty 990 Trieu,4/11/2024,2015,Xe da dung,"80,000 Km",Nhap khau,SUV,Xang 5.0 L,Den,Den,4 cho,5 cua,Ha Noi
Xe Mercedes Benz S class S450L 2017 - 1 Ty 889 Trieu,1 Ty 889 Trieu,4/11/2024,2017,Xe da dung,"89,000 Km",Lap rap trong nuoc,Sedan,Xang 3.0 L,Trang,Den,5 cho,4 cua,Ha Noi
Xe LandRover Range Rover HSE 3.0 2015 - 2 Ty 630 Trieu,2 Ty 630 Trieu,4/11/2024,2015,Xe da dung,"65,000 Km",Nhap khau,SUV,Xang 3.0 L,Den,Den,5 cho,5 cua,Ha Noi
Xe Mercedes Benz S class S450L 2018 - 2 Ty 99 Trieu,2 Ty 99 Trieu,4/11/2024,2018,Xe da dung,"89,000 Km",Lap rap trong nuoc,Sedan,Xang 3.0 L,Den,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz GLC 300 4Matic 2023 - 2 Ty 539 Trieu,2 Ty 539 Trieu,4/11/2024,2023,Xe da dung,"16,000 Km",Lap rap trong nuoc,SUV,Xang 2.0 L,Den,Den,5 cho,5 cua,Ha Noi
Xe Toyota Land Cruiser 4.6 V8 2019 - 4 Ty 150 Trieu,4 Ty 150 Trieu,4/11/2024,2019,Xe da dung,"68,000 Km",Nhap khau,SUV,Xang 4.6 L,Den,Den,8 cho,5 cua,Ha Noi
Xe Lexus ES 250 2019 - 1 Ty 920 Trieu,1 Ty 920 Trieu,4/11/2024,2019,Xe da dung,"73,000 Km",Nhap khau,Sedan,Xang 2.5 L,Den,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz S class S450L 2019 - 2 Ty 350 Trieu,2 Ty 350 Trieu,4/11/2024,2019,Xe da dung,"30,000 Km",Lap rap trong nuoc,Sedan,Xang 3.0 L,Den,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz Maybach S450 4Matic 2022 - 7 Ty 350 Trieu,7 Ty 350 Trieu,4/11/2024,2022,Xe da dung,"20,000 Km",Nhap khau,Sedan,Xang 3.0 L,Den,Nau,5 cho,4 cua,Ha Noi
Xe Mercedes Benz GLC 300 4Matic 2023 - 2 Ty 599 Trieu,2 Ty 599 Trieu,4/11/2024,2023,Xe da dung,"36,000 Km",Lap rap trong nuoc,SUV,Xang 2.0 L,Trang,Nau,5 cho,5 cua,Ha Noi
Xe Audi Q5 2.0 AT 2017 - 1 Ty 189 Trieu,1 Ty 189 Trieu,4/11/2024,2017,Xe da dung,"89,000 Km",Nhap khau,SUV,Xang 2.0 L,Den,Nau,5 cho,5 cua,Ha Noi
Xe Mercedes Benz E class E250 2016 - 939 Trieu,939 Trieu,4/11/2024,2016,Xe da dung,"85,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Do,Nau,5 cho,4 cua,Ha Noi
Xe Lexus ES 300h 2022 - 2 Ty 750 Trieu,2 Ty 750 Trieu,4/11/2024,2022,Xe da dung,"26,000 Km",Nhap khau,Sedan,Hybrid 2.5 L,Den,Den,5 cho,4 cua,Ha Noi
Xe Mercedes Benz S class S450 Luxury 2021 - 3 Ty 999 Trieu,3 Ty 999 Trieu,4/11/2024,2021,Xe da dung,"35,000 Km",Nhap khau,Sedan,Xang 3.0 L,Den,Den,5 cho,4 cua,Ha Noi
Xe Mercedes Benz G class G63 AMG 2021 - 9 Ty 300 Trieu,9 Ty 300 Trieu,4/11/2024,2021,Xe da dung,"29,000 Km",Nhap khau,SUV,Xang 4.0 L,Xam,Do,5 cho,5 cua,Ha Noi
Xe Lexus LX 570 Super Sport 2016 - 4 Ty 939 Trieu,4 Ty 939 Trieu,4/11/2024,2016,Xe da dung,"110,000 Km",Nhap khau,SUV,Xang 5.7 L,Den,Do,7 cho,5 cua,Ha Noi
Xe Mini Cooper Convertible 2021 - 1 Ty 689 Trieu,1 Ty 689 Trieu,4/11/2024,2021,Xe da dung,"11,000 Km",Nhap khau,Convertible/Cabriolet,Xang 1.5 L,Do,Nhieu mau,5 cho,2 cua,Ha Noi
Xe Mazda 6 2.0L 2016 - 455 Trieu,455 Trieu,4/11/2024,2016,Xe da dung,"80,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Den,5 cho,4 cua,Ha Noi
Xe Kia Carnival Signature 2.2D 2022 - 1 Ty 289 Trieu,1 Ty 289 Trieu,4/11/2024,2022,Xe da dung,"59,000 Km",Lap rap trong nuoc,Van/Minivan,Dau 2.2 L,Trang,Nau,7 cho,5 cua,Ha Noi
Xe Mercedes Benz C class C200 2017 - 720 Trieu,720 Trieu,4/11/2024,2017,Xe da dung,"70,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Den,Kem,5 cho,4 cua,Ha Noi
Xe Mercedes Benz G class G63 AMG 2021 - 9 Ty 650 Trieu,9 Ty 650 Trieu,4/11/2024,2021,Xe da dung,"30,000 Km",Nhap khau,SUV,Xang 4.0 L,Den,Do,5 cho,5 cua,Ha Noi
Xe Lexus RX 200t 2016 - 1 Ty 859 Trieu,1 Ty 859 Trieu,4/11/2024,2016,Xe da dung,"100,000 Km",Nhap khau,SUV,Xang 2.0 L,Vang,Nau,5 cho,5 cua,Ha Noi
Xe Lexus RX 200t 2016 - 1 Ty 859 Trieu,1 Ty 859 Trieu,4/11/2024,2016,Xe da dung,"100,000 Km",Nhap khau,SUV,Xang 2.0 L,Vang,Nau,5 cho,5 cua,Ha Noi
Xe Toyota Land Cruiser 4.6 V8 2021 - 4 Ty 579 Trieu,4 Ty 579 Trieu,4/11/2024,2021,Xe da dung,"48,000 Km",Nhap khau,SUV,Xang 4.6 L,Trang,Kem,8 cho,5 cua,Ha Noi
Xe Mercedes Benz C class C250 Exclusive 2015 - 659 Trieu,659 Trieu,4/11/2024,2015,Xe da dung,"95,000 Km",Lap rap trong nuoc,Sedan,Xang 2.0 L,Trang,Den,5 cho,4 cua,Ha Noi
Xe Audi Q5 2.0 AT 2017 - 1 Ty 179 Trieu,1 Ty 179 Trieu,4/11/2024,2017,Xe da dung,"89,000 Km",Nhap khau,SUV,Xang 2.0 L,Den,Nau,5 cho,5 cua,Ha Noi
Xe LandRover Range Rover Autobiography LWB Black Edition 2015 - 3 Ty 990 Trieu,3 Ty 990 Trieu,4/11/2024,2015,Xe da dung,"80,000 Km",Nhap khau,SUV,Xang 5.0 L,Den,Den,4 cho,5 cua,Ha Noi
Xe Toyota Corolla Cross 1.8G 2022 - 690 Trieu,690 Trieu,4/11/2024,2022,Xe da dung,"20,000 Km",Nhap khau,SUV,Xang 1.8 L,Den,Den,5 cho,5 cua,Ha Noi
Xe Nissan Navara EL Premium R 2017 - 425 Trieu,425 Trieu,4/11/2024,2017,Xe da dung,"88,000 Km",Nhap khau,Ban tai / Pickup,Dau 2.5 L,Nau,Nau,5 cho,4 cua,Ha Noi
Xe Mitsubishi Attrage 1.2 CVT 2022 - 395 Trieu,395 Trieu,4/11/2024,2022,Xe da dung,"24,000 Km",Nhap khau,Sedan,Xang 1.2 L,Trang,Den,5 cho,4 cua,Ha Noi
Xe Nissan Navara EL Premium R 2018 - 439 Trieu,439 Trieu,4/11/2024,2018,Xe da dung,"83,000 Km",Nhap khau,Ban tai / Pickup,Dau 2.5 L,Den,Nhieu mau,5 cho,4 cua,Ha Noi
Xe Toyota Innova G 2.0 AT 2022 - 755 Trieu,755 Trieu,4/11/2024,2022,Xe da dung,"30,000 Km",Lap rap trong nuoc,Crossover,Xang 2.0 L,Bac,Nau,8 cho,5 cua,Ha Noi
Xe Hyundai i10 Grand 1.2 AT 2018 - 320 Trieu,320 Trieu,4/11/2024,2018,Xe da dung,"70,000 Km",Lap rap trong nuoc,Hatchback,Xang 1.25 L,Bac,Nhieu mau,5 cho,5 cua,Ha Noi
Xe Ford Everest Titanium 2.0L 4x2 AT 2019 - 848 Trieu,848 Trieu,4/11/2024,2019,Xe da dung,0 Km,Nhap khau,SUV,Dau 2.0 L,Cat,-,7 cho,5 cua,Ha Noi
Xe BMW 2 Series 218i Active Tourer 2015 - 455 Trieu,455 Trieu,4/11/2024,2015,Xe da dung,"65,000 Km",Nhap khau,Crossover,Xang 1.5 L,Xanh,Den,5 cho,5 cua,Ha Noi
Xe Hyundai SantaFe Cao cap 2.2L HTRAC 2022 - 1 Ty 179 Trieu,1 Ty 179 Trieu,4/11/2024,2022,Xe da dung,"50,000 Km",Lap rap trong nuoc,SUV,Dau 2.2 L,Trang,Nau,7 cho,5 cua,Ha Noi
